Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-07-11;05:04:30;1;101;2018-01-01;00:02:28
2023-07-11;05:04:30;1;0;48;1988;81477;1006064
2023-07-11;05:04:30;1;2;34;2003;76939;41444
2023-07-11;05:04:30;1;1;49;987;510307832;134352828
2023-07-11;05:04:31;1;0;48;1988;81722;1005975
2023-07-11;05:04:31;1;2;34;2002;76969;11
2023-07-11;05:04:31;1;1;49;1094;510307476;134353412
2023-07-11;05:04:32;1;0;48;1988;81558;1006028
2023-07-11;05:04:32;1;2;34;2002;76939;11
2023-07-11;05:04:33;1;0;48;1989;81683;1006100
2023-07-11;05:04:33;1;2;34;2006;76992;103
2023-07-11;05:04:33;1;1;49;1270;510306914;134354462
2023-07-11;05:04:34;1;0;48;1990;81654;1006036
2023-07-11;05:04:34;1;2;34;2010;77045;11
2023-07-11;05:04:34;1;1;49;1324;510306745;134354786
2023-07-11;05:04:35;1;0;48;1988;81824;1006010
2023-07-11;05:04:35;1;2;34;2007;77076;11
2023-07-11;05:04:36;1;0;48;1987;81651;1005966
2023-07-11;05:04:36;1;2;34;2006;77023;11
2023-07-11;05:04:36;1;1;49;1303;510306853;134354631
2023-07-11;05:04:37;1;0;48;1991;82136;1005920
2023-07-11;05:04:37;1;2;34;2018;77106;11
2023-07-11;05:04:38;1;0;48;1991;82198;1005866
2023-07-11;05:04:38;1;2;34;2020;77244;13
2023-07-11;05:04:38;1;1;49;1264;510306956;134354451
2023-07-11;05:04:39;1;0;48;1994;82561;1005865
2023-07-11;05:04:39;1;2;34;2026;77297;57684
2023-07-11;05:04:39;1;1;49;1282;510306970;134354478
2023-07-11;05:04:40;1;101;2023-07-11;05:04:40
2023-07-11;05:04:40;1;0;48;1997;82503;1005936
2023-07-11;05:04:40;1;2;34;2035;77282;45
2023-07-11;05:04:40;1;1;49;1285;510307026;134354387
2023-07-11;05:04:41;1;0;48;1999;82509;1005953
2023-07-11;05:04:41;1;2;34;2041;77229;49
2023-07-11;05:04:41;1;1;49;1286;510307025;134354323
2023-07-11;05:04:42;1;0;48;2001;82442;1005952
2023-07-11;05:04:42;1;2;34;2050;77198;11
2023-07-11;05:04:43;1;0;48;2001;82339;1005988
2023-07-11;05:04:43;1;2;34;2054;77213;11
2023-07-11;05:04:43;1;1;49;1293;510307037;134354345
2023-07-11;05:04:44;1;0;48;2002;82147;1006005
2023-07-11;05:04:44;1;2;34;2056;77106;11
2023-07-11;05:04:44;1;1;49;1280;510307098;134354236
2023-07-11;05:04:45;1;0;48;2003;81932;1006023
2023-07-11;05:04:45;1;2;34;2057;76992;11
2023-07-11;05:04:45;1;1;49;1278;510307134;134354181
2023-07-11;05:04:46;1;0;48;2004;81750;1005924
2023-07-11;05:04:46;1;2;34;2058;76855;11
2023-07-11;05:04:47;1;0;48;2001;81614;1005907
2023-07-11;05:04:47;1;2;34;2051;76656;11
2023-07-11;05:04:47;1;1;49;1282;510307189;134354137
2023-07-11;05:04:48;1;0;48;2000;81796;1005944
2023-07-11;05:04:48;1;2;34;2047;76519;11
2023-07-11;05:04:48;1;1;49;1279;510307216;134354107
2023-07-11;05:04:49;1;0;48;2002;81932;1005925
2023-07-11;05:04:49;1;2;34;2044;76443;11
2023-07-11;05:04:49;1;1;49;1291;510307163;134354187
2023-07-11;05:04:50;1;101;2023-07-11;05:04:50
2023-07-11;05:04:50;1;0;48;2003;82218;1005996
2023-07-11;05:04:50;1;2;34;2042;76412;11
2023-07-11;05:04:50;1;1;49;1287;510307183;134354148
2023-07-11;05:04:51;1;0;48;2001;82166;1005952
2023-07-11;05:04:51;1;2;34;2041;76382;11
2023-07-11;05:04:51;1;1;49;1279;510307164;134354134
2023-07-11;05:04:52;1;0;48;2000;81786;1005944
2023-07-11;05:04:52;1;2;34;2041;76443;11
2023-07-11;05:04:52;1;1;49;1281;510307227;134354131
2023-07-11;05:04:53;1;0;48;2001;81757;1005961
2023-07-11;05:04:53;1;2;34;2042;76496;11
2023-07-11;05:04:53;1;1;49;1294;510307219;134354167
2023-07-11;05:04:54;1;0;48;2001;81778;1005907
2023-07-11;05:04:54;1;2;34;2044;76496;11
2023-07-11;05:04:55;1;0;48;2003;81595;1005987
2023-07-11;05:04:55;1;2;34;2047;76443;11
2023-07-11;05:04:55;1;1;49;1294;510307297;134354088
2023-07-11;05:04:56;1;0;48;2001;81797;1005907
2023-07-11;05:04:56;1;2;34;2046;76412;11
