Mean,Std,Lower Range,Upper Range,PUO,Device,Variable
"[0.067, 0.066, 0.064, 0.077, 0.0]","[5.241, 4.73, 4.018, 1.324, 0.0]","[-4.075, -3.28, -3.183, -2.469, 0.0]","[3.523, 3.261, 3.136, 1.651, 0.0]",PUO_01,EXPE,t
"[-0.007, -0.002, 0.001, 0.001, 0.0]","[0.588, 0.395, 0.315, 0.093, 0.0]","[-1.91, -1.572, -1.201, -0.559, 0.0]","[2.314, 1.313, 0.992, 0.476, 0.0]",PUO_01,SONIC,t
"[0.002, 0.002, 0.001, 0.001, 0.0]","[0.009, 0.005, 0.004, 0.001, 0.0]","[-0.256, -0.162, -0.124, -0.051, 0.0]","[0.249, 0.187, 0.154, 0.067, 0.0]",PUO_01,SONIC,wind_z
"[0.02, 0.019, 0.017, 0.01, 0.0]","[0.016, 0.007, 0.006, 0.002, 0.0]","[-0.215, -0.14, -0.122, -0.073, 0.0]","[0.466, 0.246, 0.211, 0.087, 0.0]",PUO_01,SONIC,wind_h
"[-0.18, -0.18, -0.17, -0.141, 0.0]","[0.689, 0.474, 0.312, 0.07, 0.0]","[-2.022, -1.575, -1.444, -0.41, 0.0]","[0.895, 0.628, 0.417, 0.219, 0.0]",PUO_02,EXPE,t
"[-0.226, -0.215, -0.199, -0.137, 0.0]","[0.383, 0.176, 0.098, 0.04, 0.0]","[-1.514, -0.796, -0.648, -0.431, 0.0]","[1.26, 0.509, 0.32, 0.089, 0.0]",PUO_02,SONIC,t
"[-0.015, -0.014, -0.013, -0.007, 0.0]","[0.002, 0.0, 0.0, 0.0, 0.0]","[-0.141, -0.055, -0.029, -0.014, 0.0]","[0.116, 0.023, 0.006, -0.0, 0.0]",PUO_02,SONIC,wind_z
"[0.039, 0.038, 0.035, 0.025, 0.0]","[0.011, 0.006, 0.004, 0.001, 0.0]","[-0.093, -0.06, -0.035, -0.022, 0.0]","[0.328, 0.191, 0.173, 0.068, 0.0]",PUO_02,SONIC,wind_h
"[0.034, 0.037, 0.037, 0.022, 0.0]","[0.108, 0.065, 0.037, 0.008, 0.0]","[-0.654, -0.37, -0.334, -0.137, 0.0]","[0.735, 0.565, 0.39, 0.173, 0.0]",PUO_03,EXPE,t
"[-0.065, -0.056, -0.047, -0.022, 0.0]","[0.172, 0.089, 0.053, 0.01, 0.0]","[-0.951, -0.561, -0.411, -0.246, 0.0]","[1.023, 0.693, 0.516, 0.096, 0.0]",PUO_03,SONIC,t
"[-0.028, -0.024, -0.02, -0.01, 0.0]","[0.012, 0.005, 0.003, 0.001, 0.0]","[-0.385, -0.18, -0.128, -0.06, 0.0]","[0.18, 0.092, 0.073, 0.033, 0.0]",PUO_03,SONIC,wind_z
"[0.088, 0.081, 0.073, 0.044, 0.0]","[0.061, 0.023, 0.013, 0.003, 0.0]","[-0.337, -0.15, -0.108, -0.023, 0.0]","[0.983, 0.374, 0.222, 0.129, 0.0]",PUO_03,SONIC,wind_h
"[-0.023, -0.022, -0.017, -0.017, 0.0]","[0.165, 0.101, 0.049, 0.011, 0.0]","[-1.029, -0.769, -0.517, -0.236, 0.0]","[0.921, 0.55, 0.305, 0.113, 0.0]",PUO_04,EXPE,t
"[0.061, 0.061, 0.061, 0.038, 0.0]","[0.314, 0.174, 0.08, 0.01, 0.0]","[-1.166, -0.743, -0.45, -0.197, 0.0]","[1.47, 0.843, 0.542, 0.223, 0.0]",PUO_04,SONIC,t
"[0.032, 0.031, 0.03, 0.018, 0.0]","[0.015, 0.005, 0.002, 0.001, 0.0]","[-0.242, -0.098, -0.048, -0.007, 0.0]","[0.38, 0.237, 0.112, 0.054, 0.0]",PUO_04,SONIC,wind_z
"[0.064, 0.064, 0.062, 0.037, 0.0]","[0.081, 0.019, 0.009, 0.003, 0.0]","[-0.511, -0.215, -0.118, -0.03, 0.0]","[1.161, 0.43, 0.192, 0.126, 0.0]",PUO_04,SONIC,wind_h
"[0.035, 0.034, 0.031, 0.019, 0.0]","[0.031, 0.02, 0.013, 0.003, 0.0]","[-0.347, -0.277, -0.187, -0.08, 0.0]","[0.514, 0.361, 0.249, 0.126, 0.0]",PUO_05,EXPE,t
"[0.081, 0.079, 0.074, 0.048, 0.0]","[0.088, 0.059, 0.046, 0.014, 0.0]","[-0.638, -0.342, -0.232, -0.125, 0.0]","[0.949, 0.547, 0.477, 0.29, 0.0]",PUO_05,SONIC,t
"[0.016, 0.015, 0.013, 0.006, 0.0]","[0.021, 0.011, 0.009, 0.003, 0.0]","[-0.312, -0.199, -0.152, -0.092, 0.0]","[0.377, 0.219, 0.19, 0.084, 0.0]",PUO_05,SONIC,wind_z
"[-0.039, -0.038, -0.032, -0.017, 0.0]","[0.2, 0.086, 0.038, 0.004, 0.0]","[-0.986, -0.554, -0.415, -0.119, 0.0]","[2.258, 0.898, 0.38, 0.105, 0.0]",PUO_05,SONIC,wind_h
"[0.199, 0.189, 0.169, 0.111, 0.0]","[1.03, 0.485, 0.2, 0.056, 0.0]","[-1.833, -1.576, -1.071, -0.322, 0.0]","[4.111, 2.245, 0.884, 0.545, 0.0]",PUO_06,EXPE,t
"[0.1, 0.094, 0.088, 0.052, 0.0]","[0.128, 0.067, 0.04, 0.01, 0.0]","[-0.798, -0.57, -0.343, -0.119, 0.0]","[1.112, 0.783, 0.452, 0.257, 0.0]",PUO_06,SONIC,t
