Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-05-08;11:53:10;1;101;2018-01-01;00:01:06
2023-05-08;11:53:10;1;0;48;2591;26525;1010986
2023-05-08;11:53:10;1;2;34;2472;35130;11
2023-05-08;11:53:10;1;1;49;1463;510307841;134354327
2023-05-08;11:53:11;1;0;48;2589;26286;1011005
2023-05-08;11:53:11;1;2;34;2467;35099;11
2023-05-08;11:53:11;1;1;49;1464;510307849;134354339
2023-05-08;11:53:12;1;0;48;2596;26310;1010992
2023-05-08;11:53:12;1;2;34;2466;35030;11
2023-05-08;11:53:12;1;1;49;1465;510307857;134354348
2023-05-08;11:53:13;1;0;48;2590;26182;1011040
2023-05-08;11:53:13;1;2;34;2438;34962;115
2023-05-08;11:53:13;1;1;49;1465;510307861;134354362
2023-05-08;11:53:14;1;0;48;2579;26041;1011073
2023-05-08;11:53:14;1;2;34;2398;34855;11
2023-05-08;11:53:14;1;1;49;1468;510307859;134354384
2023-05-08;11:53:15;1;0;48;2572;25882;1011040
2023-05-08;11:53:15;1;2;34;2371;34779;11
2023-05-08;11:53:15;1;1;49;1473;510307863;134354395
2023-05-08;11:53:16;1;0;48;2576;25812;1011020
2023-05-08;11:53:16;1;2;34;2365;34779;11
2023-05-08;11:53:16;1;1;49;1477;510307869;134354403
2023-05-08;11:53:17;1;0;48;2582;25898;1011018
2023-05-08;11:53:17;1;2;34;2383;34840;11
2023-05-08;11:53:17;1;1;49;1479;510307875;134354406
2023-05-08;11:53:18;1;0;48;2590;26047;1011068
2023-05-08;11:53:18;1;2;34;2417;34939;11
2023-05-08;11:53:18;1;1;49;1480;510307884;134354404
2023-05-08;11:53:19;1;0;48;2593;26071;1010967
2023-05-08;11:53:19;1;2;34;2440;35030;11
2023-05-08;11:53:19;1;1;49;1480;510307894;134354403
2023-05-08;11:53:20;1;101;2023-05-08;11:53:20
2023-05-08;11:53:20;1;0;48;2596;25958;1011046
2023-05-08;11:53:20;1;2;34;2457;35084;11
2023-05-08;11:53:20;1;1;49;1480;510307903;134354397
2023-05-08;11:53:21;1;0;48;2604;25962;1011015
2023-05-08;11:53:21;1;2;34;2478;35099;11
2023-05-08;11:53:22;1;0;48;2602;25879;1011016
2023-05-08;11:53:22;1;2;34;2469;35069;11
2023-05-08;11:53:22;1;1;49;1478;510307916;134354389
2023-05-08;11:53:23;1;0;48;2606;25912;1010960
2023-05-08;11:53:23;1;2;34;2478;35000;11
2023-05-08;11:53:23;1;1;49;1476;510307921;134354388
2023-05-08;11:53:24;1;0;48;2609;25716;1011013
2023-05-08;11:53:24;1;2;34;2469;34931;11
2023-05-08;11:53:24;1;1;49;1475;510307925;134354380
2023-05-08;11:53:25;1;0;48;2606;25643;1010933
2023-05-08;11:53:25;1;2;34;2460;34847;11
2023-05-08;11:53:25;1;1;49;1474;510307928;134354369
2023-05-08;11:53:26;1;0;48;2597;25689;1011009
2023-05-08;11:53:26;1;2;34;2441;34763;11
2023-05-08;11:53:26;1;1;49;1472;510307935;134354363
2023-05-08;11:53:27;1;0;48;2581;25536;1011027
2023-05-08;11:53:27;1;2;34;2395;34641;11
2023-05-08;11:53:27;1;1;49;1471;510307946;134354359
2023-05-08;11:53:28;1;0;48;2572;25468;1011067
2023-05-08;11:53:28;1;2;34;2354;34565;11
2023-05-08;11:53:28;1;1;49;1469;510307951;134354361
2023-05-08;11:53:29;1;0;48;2564;25546;1011035
2023-05-08;11:53:29;1;2;34;2320;34565;11
2023-05-08;11:53:29;1;1;49;1470;510307954;134354364
2023-05-08;11:53:30;1;101;2023-05-08;11:53:30
2023-05-08;11:53:30;1;0;48;2553;25561;1010987
2023-05-08;11:53:30;1;2;34;2290;34618;49
2023-05-08;11:53:30;1;1;49;1470;510307959;134354365
2023-05-08;11:53:31;1;0;48;2551;25756;1010943
2023-05-08;11:53:31;1;2;34;2303;34740;11
2023-05-08;11:53:31;1;1;49;1470;510307966;134354358
2023-05-08;11:53:32;1;0;48;2561;26134;1010956
2023-05-08;11:53:32;1;2;34;2349;35030;123
2023-05-08;11:53:32;1;1;49;1469;510307974;134354347
2023-05-08;11:53:33;1;0;48;2569;26418;1011033
2023-05-08;11:53:33;1;2;34;2395;35381;11
2023-05-08;11:53:33;1;1;49;1469;510307981;134354342
2023-05-08;11:53:34;1;0;48;2570;26802;1011024
2023-05-08;11:53:34;1;2;34;2431;35656;14
2023-05-08;11:53:34;1;1;49;1469;510307988;134354339
2023-05-08;11:53:35;1;0;48;2581;26809;1010982
2023-05-08;11:53:35;1;2;34;2474;35862;26270
2023-05-08;11:53:35;1;1;49;1469;510307993;134354338
2023-05-08;11:53:36;1;0;48;2590;27083;1010986
2023-05-08;11:53:36;1;2;34;2510;35999;244
2023-05-08;11:53:36;1;1;49;1469;510307998;134354336
2023-05-08;11:53:37;1;0;48;2596;26984;1011019
2023-05-08;11:53:37;1;2;34;2542;36106;11
2023-05-08;11:53:37;1;1;49;1469;510308004;134354332
2023-05-08;11:53:38;1;0;48;2597;26497;1010982
2023-05-08;11:53:38;1;2;34;2542;36037;11
2023-05-08;11:53:38;1;1;49;1469;510308009;134354328
2023-05-08;11:53:39;1;0;48;2602;26687;1011043
2023-05-08;11:53:39;1;2;34;2560;35900;11
2023-05-08;11:53:39;1;1;49;1470;510308011;134354325
2023-05-08;11:53:40;1;101;2023-05-08;11:53:40
2023-05-08;11:53:40;1;0;48;2611;26556;1010993
2023-05-08;11:53:40;1;2;34;2575;35786;11
2023-05-08;11:53:40;1;1;49;1471;510308017;134354319
2023-05-08;11:53:41;1;0;48;2616;26291;1010973
2023-05-08;11:53:41;1;2;34;2589;35603;11
2023-05-08;11:53:41;1;1;49;1470;510308023;134354317
2023-05-08;11:53:42;1;0;48;2622;25994;1011024
2023-05-08;11:53:42;1;2;34;2610;35351;11
2023-05-08;11:53:42;1;1;49;1471;510308030;134354316
2023-05-08;11:53:43;1;0;48;2624;25797;1011059
2023-05-08;11:53:43;1;2;34;2618;35107;11
2023-05-08;11:53:43;1;1;49;1471;510308039;134354312
2023-05-08;11:53:44;1;0;48;2620;25557;1010988
2023-05-08;11:53:44;1;2;34;2616;34855;11
2023-05-08;11:53:44;1;1;49;1471;510308046;134354309
2023-05-08;11:53:45;1;0;48;2607;25560;1010977
2023-05-08;11:53:45;1;2;34;2582;34550;41
2023-05-08;11:53:45;1;1;49;1471;510308054;134354304
2023-05-08;11:53:46;1;0;48;2618;25608;1010981
2023-05-08;11:53:46;1;2;34;2573;34382;11
2023-05-08;11:53:46;1;1;49;1471;510308061;134354300
2023-05-08;11:53:47;1;0;48;2618;25504;1011035
2023-05-08;11:53:47;1;2;34;2539;34206;11
2023-05-08;11:53:47;1;1;49;1471;510308068;134354294
2023-05-08;11:53:48;1;0;48;2604;25476;1010997
2023-05-08;11:53:48;1;2;34;2487;33985;11
2023-05-08;11:53:48;1;1;49;1471;510308076;134354288
2023-05-08;11:53:49;1;0;48;2602;25475;1011070
2023-05-08;11:53:49;1;2;34;2447;33901;11
2023-05-08;11:53:49;1;1;49;1471;510308084;134354280
2023-05-08;11:53:50;1;101;2023-05-08;11:53:50
2023-05-08;11:53:50;1;0;48;2598;25483;1011018
2023-05-08;11:53:50;1;2;34;2427;33878;41
2023-05-08;11:53:50;1;1;49;1472;510308093;134354266
2023-05-08;11:53:51;1;0;48;2591;25448;1010977
2023-05-08;11:53:51;1;2;34;2413;33978;11
2023-05-08;11:53:51;1;1;49;1470;510308101;134354249
2023-05-08;11:53:52;1;0;48;2592;25500;1011030
2023-05-08;11:53:52;1;2;34;2420;34077;11
2023-05-08;11:53:52;1;1;49;1467;510308108;134354233
2023-05-08;11:53:53;1;0;48;2589;25561;1011032
2023-05-08;11:53:53;1;2;34;2409;34153;11
2023-05-08;11:53:53;1;1;49;1464;510308117;134354211
2023-05-08;11:53:54;1;0;48;2571;25333;1011041
2023-05-08;11:53:54;1;2;34;2365;34184;11
2023-05-08;11:53:54;1;1;49;1460;510308127;134354192
2023-05-08;11:53:55;1;0;48;2567;25475;1011052
2023-05-08;11:53:55;1;2;34;2327;34199;11
2023-05-08;11:53:55;1;1;49;1456;510308135;134354181
2023-05-08;11:53:56;1;0;48;2564;25371;1011063
2023-05-08;11:53:56;1;2;34;2310;34298;11
2023-05-08;11:53:56;1;1;49;1454;510308145;134354170
2023-05-08;11:53:57;1;0;48;2561;25296;1011028
2023-05-08;11:53:57;1;2;34;2304;34374;11
2023-05-08;11:53:57;1;1;49;1452;510308155;134354157
2023-05-08;11:53:58;1;0;48;2554;25489;1010996
2023-05-08;11:53:58;1;2;34;2309;34496;45
2023-05-08;11:53:58;1;1;49;1449;510308162;134354148
2023-05-08;11:53:59;1;0;48;2562;25773;1010964
2023-05-08;11:53:59;1;2;34;2329;34710;11
2023-05-08;11:53:59;1;1;49;1447;510308167;134354147
2023-05-08;11:54:00;1;101;2023-05-08;11:54:00
2023-05-08;11:54:00;1;0;48;2567;25983;1011079
2023-05-08;11:54:00;1;2;34;2368;34916;37
2023-05-08;11:54:00;1;1;49;1446;510308170;134354147
