Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-04-12;07:14:20;1;101;2018-01-01;00:02:48
2023-04-12;07:14:20;1;0;48;1779;38843;995171
2023-04-12;07:14:20;1;2;34;1998;44987;11
2023-04-12;07:14:20;1;1;49;981;510309839;134355569
2023-04-12;07:14:21;1;0;48;1783;38785;995179
2023-04-12;07:14:21;1;2;34;1988;44796;224
2023-04-12;07:14:22;1;0;48;1788;38739;995203
2023-04-12;07:14:22;1;2;34;1986;44628;11
2023-04-12;07:14:22;1;1;49;962;510309905;134355625
2023-04-12;07:14:23;1;0;48;1793;38691;995290
2023-04-12;07:14:23;1;2;34;1982;44445;11
2023-04-12;07:14:23;1;1;49;957;510309908;134355623
2023-04-12;07:14:24;1;0;48;1794;38582;995183
2023-04-12;07:14:24;1;2;34;1978;44346;11
2023-04-12;07:14:25;1;0;48;1804;38529;995187
2023-04-12;07:14:25;1;2;34;1993;44231;11
2023-04-12;07:14:25;1;1;49;943;510309951;134355667
2023-04-12;07:14:26;1;0;48;1810;38749;995238
2023-04-12;07:14:26;1;2;34;2002;44186;11
2023-04-12;07:14:26;1;1;49;937;510309965;134355689
2023-04-12;07:14:27;1;0;48;1812;38648;995246
2023-04-12;07:14:27;1;2;34;2009;44086;21810
2023-04-12;07:14:27;1;1;49;930;510309988;134355716
2023-04-12;07:14:28;1;0;48;1815;38447;995245
2023-04-12;07:14:28;1;2;34;2004;43987;11
2023-04-12;07:14:28;1;1;49;926;510309998;134355728
2023-04-12;07:14:29;1;0;48;1817;38357;995199
2023-04-12;07:14:29;1;2;34;2002;43926;11
2023-04-12;07:14:30;1;101;2023-04-12;07:14:30
2023-04-12;07:14:30;1;0;48;1822;38433;995171
2023-04-12;07:14:30;1;2;34;1993;43804;11
2023-04-12;07:14:30;1;1;49;917;510310013;134355747
2023-04-12;07:14:31;1;0;48;1824;38272;995187
2023-04-12;07:14:31;1;2;34;1997;43743;11
2023-04-12;07:14:31;1;1;49;916;510310010;134355745
2023-04-12;07:14:32;1;0;48;1825;38364;995231
2023-04-12;07:14:32;1;2;34;1995;43674;52300
2023-04-12;07:14:32;1;1;49;918;510309984;134355716
2023-04-12;07:14:33;1;0;48;1823;38057;995295
2023-04-12;07:14:33;1;2;34;1984;43644;11
2023-04-12;07:14:34;1;0;48;1825;37947;995250
2023-04-12;07:14:34;1;2;34;1940;43522;11
2023-04-12;07:14:34;1;1;49;930;510309904;134355639
2023-04-12;07:14:35;1;0;48;1820;37851;995225
2023-04-12;07:14:35;1;2;34;1886;43369;11
2023-04-12;07:14:35;1;1;49;937;510309858;134355591
2023-04-12;07:14:36;1;0;48;1819;37708;995181
2023-04-12;07:14:36;1;2;34;1843;43316;44
2023-04-12;07:14:36;1;1;49;946;510309800;134355533
2023-04-12;07:14:37;1;0;48;1816;37827;995209
2023-04-12;07:14:37;1;2;34;1827;43415;11
2023-04-12;07:14:37;1;1;49;959;510309721;134355455
2023-04-12;07:14:38;1;0;48;1820;37708;995278
2023-04-12;07:14:38;1;2;34;1821;43522;11
2023-04-12;07:14:38;1;1;49;969;510309661;134355393
2023-04-12;07:14:39;1;0;48;1825;37804;995285
2023-04-12;07:14:39;1;2;34;1820;43659;11
2023-04-12;07:14:39;1;1;49;984;510309570;134355301
2023-04-12;07:14:40;1;101;2023-04-12;07:14:40
2023-04-12;07:14:40;1;0;48;1826;37958;995222
2023-04-12;07:14:40;1;2;34;1833;43842;11
2023-04-12;07:14:40;1;1;49;1011;510309406;134355135
2023-04-12;07:14:41;1;0;48;1827;37939;995204
2023-04-12;07:14:41;1;2;34;1845;44018;11
2023-04-12;07:14:41;1;1;49;1026;510309320;134355053
2023-04-12;07:14:42;1;0;48;1833;37771;995228
2023-04-12;07:14:42;1;2;34;1860;44170;11
2023-04-12;07:14:42;1;1;49;1037;510309254;134354987
2023-04-12;07:14:43;1;0;48;1835;37895;995209
2023-04-12;07:14:43;1;2;34;1884;44285;11
2023-04-12;07:14:44;1;0;48;1839;37908;995190
2023-04-12;07:14:44;1;2;34;1913;44392;11
2023-04-12;07:14:44;1;1;49;1065;510309088;134354817
2023-04-12;07:14:45;1;0;48;1841;37655;995198
2023-04-12;07:14:45;1;2;34;1930;44437;11
2023-04-12;07:14:45;1;1;49;1072;510309046;134354772
2023-04-12;07:14:46;1;0;48;1843;37606;995259
2023-04-12;07:14:46;1;2;34;1934;44437;11
2023-04-12;07:14:46;1;1;49;1079;510309011;134354738
2023-04-12;07:14:47;1;0;48;1844;37780;995196
2023-04-12;07:14:47;1;2;34;1930;44376;44604
2023-04-12;07:14:47;1;1;49;1082;510308985;134354707
2023-04-12;07:14:48;1;0;48;1840;37471;995234
2023-04-12;07:14:48;1;2;34;1918;44292;33891
2023-04-12;07:14:48;1;1;49;1080;510308992;134354707
2023-04-12;07:14:49;1;0;48;1826;37480;995222
2023-04-12;07:14:49;1;2;34;1901;44239;11
2023-04-12;07:14:49;1;1;49;1079;510308994;134354703
2023-04-12;07:14:50;1;101;2023-04-12;07:14:50
2023-04-12;07:14:50;1;0;48;1824;37539;995152
2023-04-12;07:14:50;1;2;34;1889;44193;11
2023-04-12;07:14:50;1;1;49;1079;510308988;134354694
2023-04-12;07:14:51;1;0;48;1831;37861;995220
2023-04-12;07:14:51;1;2;34;1889;44155;51319
2023-04-12;07:14:51;1;1;49;1076;510308992;134354690
2023-04-12;07:14:52;1;0;48;1841;37767;995198
2023-04-12;07:14:52;1;2;34;1899;44209;137
2023-04-12;07:14:52;1;1;49;1074;510308998;134354690
2023-04-12;07:14:53;1;0;48;1840;37522;995207
2023-04-12;07:14:53;1;2;34;1899;44239;11
2023-04-12;07:14:54;1;0;48;1834;37761;995192
2023-04-12;07:14:54;1;2;34;1870;44201;11
2023-04-12;07:14:55;1;0;48;1828;37522;995203
2023-04-12;07:14:55;1;2;34;1839;44201;11
2023-04-12;07:14:56;1;0;48;1831;37677;995202
2023-04-12;07:14:56;1;2;34;1835;44231;11
2023-04-12;07:14:56;1;1;49;1057;510309065;134354738
2023-04-12;07:14:57;1;0;48;1835;37457;995174
2023-04-12;07:14:57;1;2;34;1853;44315;11
2023-04-12;07:14:57;1;1;49;1049;510309103;134354765
2023-04-12;07:14:58;1;0;48;1837;37427;995209
2023-04-12;07:14:58;1;2;34;1873;44399;11
2023-04-12;07:14:59;1;0;48;1837;37468;995182
2023-04-12;07:14:59;1;2;34;1887;44453;11
2023-04-12;07:14:59;1;1;49;1037;510309166;134354816
2023-04-12;07:15:00;1;101;2023-04-12;07:15:00
2023-04-12;07:15:00;1;0;48;1834;37619;995138
2023-04-12;07:15:00;1;2;34;1904;44498;11
2023-04-12;07:15:00;1;1;49;1034;510309182;134354829
2023-04-12;07:15:01;1;0;48;1833;37444;995166
2023-04-12;07:15:01;1;2;34;1910;44521;11
2023-04-12;07:15:01;1;1;49;1032;510309196;134354837
2023-04-12;07:15:02;1;0;48;1839;37510;995163
2023-04-12;07:15:02;1;2;34;1922;44491;11
2023-04-12;07:15:02;1;1;49;1034;510309183;134354820
2023-04-12;07:15:03;1;0;48;1843;37453;995206
2023-04-12;07:15:03;1;2;34;1935;44476;11
2023-04-12;07:15:03;1;1;49;1034;510309178;134354811
2023-04-12;07:15:04;1;0;48;1845;37627;995160
2023-04-12;07:15:04;1;2;34;1946;44407;44
2023-04-12;07:15:05;1;0;48;1842;37585;995170
2023-04-12;07:15:05;1;2;34;1946;44346;11
2023-04-12;07:15:06;1;0;48;1843;37413;995179
2023-04-12;07:15:06;1;2;34;1945;44247;11
2023-04-12;07:15:06;1;1;49;1039;510309131;134354757
2023-04-12;07:15:07;1;0;48;1844;37566;995196
2023-04-12;07:15:07;1;2;34;1946;44178;11
2023-04-12;07:15:07;1;1;49;1047;510309084;134354708
2023-04-12;07:15:08;1;0;48;1846;37476;995178
2023-04-12;07:15:08;1;2;34;1948;44132;11
2023-04-12;07:15:09;1;0;48;1843;37494;995188
2023-04-12;07:15:09;1;2;34;1954;44033;17
2023-04-12;07:15:10;1;101;2023-04-12;07:15:10
2023-04-12;07:15:10;1;0;48;1845;37210;995267
2023-04-12;07:15:10;1;2;34;1948;43972;11
2023-04-12;07:15:10;1;1;49;1079;510308882;134354496
2023-04-12;07:15:11;1;0;48;1846;37447;995159
2023-04-12;07:15:11;1;2;34;1948;43903;11
2023-04-12;07:15:11;1;1;49;1089;510308826;134354440
2023-04-12;07:15:12;1;0;48;1847;37466;995222
2023-04-12;07:15:12;1;2;34;1958;43873;11
2023-04-12;07:15:13;1;0;48;1851;37480;995211
2023-04-12;07:15:13;1;2;34;1962;43804;11
2023-04-12;07:15:13;1;1;49;1112;510308691;134354311
2023-04-12;07:15:14;1;0;48;1849;37347;995185
