Date;Time;Module Address;Module Command;Value1;Value2;Value3;Value4
2023-08-12;06:41:40;1;101;2018-01-01;00:02:05
2023-08-12;06:41:40;1;0;48;2314;62096;1005201
2023-08-12;06:41:40;1;2;34;2299;66715;11
2023-08-12;06:41:40;1;1;49;1575;510307158;134352931
2023-08-12;06:41:41;1;0;48;2313;61837;1005192
2023-08-12;06:41:41;1;2;34;2300;66715;11
2023-08-12;06:41:41;1;1;49;1579;510307136;134352922
2023-08-12;06:41:42;1;0;48;2311;61742;1005184
2023-08-12;06:41:42;1;2;34;2300;66715;11
2023-08-12;06:41:42;1;1;49;1584;510307125;134352895
2023-08-12;06:41:43;1;0;48;2311;61608;1005211
2023-08-12;06:41:43;1;2;34;2300;66685;11
2023-08-12;06:41:43;1;1;49;1589;510307108;134352879
2023-08-12;06:41:44;1;0;48;2309;61852;1005231
2023-08-12;06:41:44;1;2;34;2300;66685;11
2023-08-12;06:41:44;1;1;49;1593;510307097;134352858
2023-08-12;06:41:45;1;0;48;2307;61880;1005141
2023-08-12;06:41:45;1;2;34;2295;66662;11
2023-08-12;06:41:45;1;1;49;1599;510307080;134352844
2023-08-12;06:41:46;1;0;48;2306;61960;1005178
2023-08-12;06:41:46;1;2;34;2289;66601;11
2023-08-12;06:41:46;1;1;49;1601;510307073;134352842
2023-08-12;06:41:47;1;0;48;2299;61395;1005163
2023-08-12;06:41:47;1;2;34;2273;66532;11
2023-08-12;06:41:47;1;1;49;1602;510307060;134352851
2023-08-12;06:41:48;1;0;48;2291;61291;1005131
2023-08-12;06:41:48;1;2;34;2251;66471;11
2023-08-12;06:41:48;1;1;49;1604;510307050;134352853
2023-08-12;06:41:49;1;0;48;2289;61145;1005123
2023-08-12;06:41:49;1;2;34;2236;66380;106
2023-08-12;06:41:49;1;1;49;1607;510307032;134352866
2023-08-12;06:41:50;1;101;2023-08-12;06:41:50
2023-08-12;06:41:50;1;0;48;2288;60928;1005141
2023-08-12;06:41:50;1;2;34;2230;66410;11
2023-08-12;06:41:50;1;1;49;1608;510307030;134352877
2023-08-12;06:41:51;1;0;48;2288;61071;1005187
2023-08-12;06:41:51;1;2;34;2230;66433;11
2023-08-12;06:41:51;1;1;49;1607;510307033;134352879
2023-08-12;06:41:52;1;0;48;2288;61297;1005214
2023-08-12;06:41:52;1;2;34;2229;66547;11
2023-08-12;06:41:52;1;1;49;1606;510307036;134352887
2023-08-12;06:41:53;1;0;48;2284;61581;1005179
2023-08-12;06:41:53;1;2;34;2230;66631;25
2023-08-12;06:41:53;1;1;49;1606;510307038;134352896
2023-08-12;06:41:54;1;0;48;2283;61385;1005171
2023-08-12;06:41:54;1;2;34;2231;66738;11
2023-08-12;06:41:54;1;1;49;1604;510307039;134352913
2023-08-12;06:41:55;1;0;48;2283;61487;1005216
2023-08-12;06:41:55;1;2;34;2233;66792;11
2023-08-12;06:41:55;1;1;49;1602;510307033;134352935
2023-08-12;06:41:56;1;0;48;2282;61620;1005252
2023-08-12;06:41:56;1;2;34;2236;66875;11
2023-08-12;06:41:56;1;1;49;1601;510307033;134352951
2023-08-12;06:41:57;1;0;48;2279;62119;1005200
2023-08-12;06:41:57;1;2;34;2236;66959;11
2023-08-12;06:41:57;1;1;49;1600;510307031;134352965
2023-08-12;06:41:58;1;0;48;2279;62057;1005209
2023-08-12;06:41:58;1;2;34;2240;67013;11
2023-08-12;06:41:58;1;1;49;1599;510307028;134352981
2023-08-12;06:41:59;1;0;48;2278;62323;1005299
2023-08-12;06:41:59;1;2;34;2243;67127;11
2023-08-12;06:41:59;1;1;49;1599;510307018;134353006
2023-08-12;06:42:00;1;101;2023-08-12;06:42:00
2023-08-12;06:42:00;1;0;48;2276;62147;1005210
2023-08-12;06:42:00;1;2;34;2246;67188;11
2023-08-12;06:42:00;1;1;49;1598;510307009;134353029
2023-08-12;06:42:01;1;0;48;2276;61879;1005210
2023-08-12;06:42:01;1;2;34;2248;67188;11
2023-08-12;06:42:01;1;1;49;1597;510306998;134353053
2023-08-12;06:42:02;1;0;48;2277;62075;1005227
2023-08-12;06:42:02;1;2;34;2253;67188;45
2023-08-12;06:42:02;1;1;49;1596;510306989;134353072
2023-08-12;06:42:03;1;0;48;2277;62198;1005219
2023-08-12;06:42:03;1;2;34;2256;67188;11
2023-08-12;06:42:03;1;1;49;1594;510306983;134353084
2023-08-12;06:42:04;1;0;48;2276;62373;1005183
